,Year,GRPC Cumulative OIL (MMSKL),GRPC Cumulative GAS (BCM),GRPC Yearly OIL rate (MMSKL/yr),GRPC Yearly GAS rate (BCM/yr),Predicted Cumulative OIL (MMSKL),Predicted Cumulative GAS (BCM),Predicted Yearly OIL rate (MMSKL/yr),Predicted Yearly GAS rate (BCM/yr)
0,1993,0.0108734,0.002294092,0.0108734,0.002294092,0,0,0,0
1,1994,0.0795598,0.013036833,0.0686864,0.010742742,0.321036877,0.041107541,0.321036877,0.041107541
2,1995,0.1395796,0.021802267,0.0600198,0.008765434,0.423571698,0.053968637,0.102534821,0.012861096
3,1996,0.2115053,0.033367732,0.0719257,0.011565464,0.515137451,0.065853121,0.091565753,0.011884485
4,1997,0.2990745,0.045542626,0.0875692,0.012174894,0.560343374,0.07353106,0.045205923,0.007677939
5,1998,0.3975111,0.064880573,0.0984366,0.019337947,0.768987548,0.101693655,0.208644175,0.028162595
6,1999,0.579226,0.1008509,0.1817149,0.035970326,1.091890427,0.155161814,0.322902878,0.053468159
7,2000,0.828153,0.146863142,0.248927,0.046012242,1.601394429,0.241750731,0.509504002,0.086588917
8,2001,1.182078,0.201754367,0.353925,0.054891225,2.086303498,0.338887544,0.484909069,0.097136813
9,2002,1.571453,0.272704396,0.389375,0.070950029,2.544450816,0.451859542,0.458147318,0.112971998
10,2003,2.012067,0.375576201,0.440614,0.102871805,3.137894466,0.581236559,0.59344365,0.129377017
11,2004,2.484378,0.466070723,0.472311,0.090494522,3.672237651,0.688076211,0.534343185,0.106839652
12,2005,2.997632,0.583582773,0.513254,0.11751205,4.482045957,0.832620863,0.809808305,0.144544652
13,2006,3.710849,0.712256215,0.713217,0.128673442,6.023848112,1.100800567,1.541802156,0.268179704
14,2007,4.568535,0.863983441,0.857686,0.151727226,7.547493601,1.356081242,1.523645489,0.255280675
15,2008,5.70433,1.054975273,1.135795,0.190991832,8.84623939,1.614653479,1.298745789,0.258572237
16,2009,6.847169,1.301890025,1.142839,0.246914752,9.756117419,1.835777513,0.909878029,0.221124034
17,2010,8.039311,1.589496718,1.192142,0.287606693,11.55633984,2.156851642,1.800222422,0.321074129
18,2011,9.403284833,1.993387966,1.363973833,0.403891248,12.53458529,2.45386738,0.97824545,0.297015738
19,2012,10.84445783,2.347331594,1.441173,0.353943628,13.58295777,2.687428241,1.048372481,0.233560861
20,2013,12.33358583,2.694116555,1.489128,0.346784961,14.81075366,2.917256185,1.227795886,0.229827944
21,2014,13.82326883,2.974796702,1.489683,0.280680147,16.12678309,3.180687072,1.31602943,0.263430887
22,2015,15.27389283,3.273651157,1.450624,0.298854455,17.47407211,3.468906838,1.347289025,0.288219767
23,2016,16.63185883,3.539699272,1.357966,0.266048115,18.25963688,3.645230945,0.785564765,0.176324106
24,2017,17.97302383,3.796489625,1.341165,0.256790353,19.57721741,3.868989456,1.31758053,0.223758512
25,2018,19.22085083,4.030536679,1.247827,0.234047054,20.28935873,3.987517946,0.712141321,0.118528489
26,2019,20.33340983,4.307107528,1.112559,0.276570849,21.30241479,4.176134995,1.013056063,0.188617049
27,2020,21.39670569,4.602652563,1.063295854,0.295545035,21.67501103,4.303769909,0.372596241,0.127634913
28,2021,22.40415893,4.843081986,1.007453243,0.240429423,22.11728689,4.406743563,0.442275856,0.102973655
29,2022,22.80253637,4.933861058,0.398377439,0.090779072,22.78375121,4.513204611,0.666464321,0.106461047
